Scientific Name,Common Name,Species ID,Link
Glycine max (L.) Merr,Soybean,5769,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5769
Glycine max 'Butterbeans',-,7160,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7160
Glycosmis parviflora (Sims) Little,-,6383,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6383
Glycosmis perakensis,-,2938,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2938
Gmelina arborea Roxb. ex Sm.,Gamhar,2939,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2939
Gmelina asiatica L.,Bulangan,6284,https://www.nparks.gov.sg/florafaunaweb/flora/6/2/6284
Gmelina dalrympleana (F. Muell.) H.J. Lam,Dalrymple's White Beech,2940,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2940
Gmelina elliptica Sm.,Bulang,2941,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2941
Gmelina philippensis Cham.,Purple Bulang,2036,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2036
Gnetum gnemon L.,Belinjau,2942,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2942
Gnetum gnemonoides Brongn,Tali Ganemu,8056,https://www.nparks.gov.sg/florafaunaweb/flora/8/0/8056
Goeppertia albertii (L.H.Bailey & Raffill) Borchs.& S.Suarez,Emerald Feather Calathea,5617,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5617
Goeppertia 'Beauty Star',Peacock Plant,8119,https://www.nparks.gov.sg/florafaunaweb/flora/8/1/8119
Goeppertia bella,Zebra Plant,1746,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1746
Goeppertia burle-marxii 'Blue Ice',Blue Ice Calathea,5053,https://www.nparks.gov.sg/florafaunaweb/flora/5/0/5053
Goeppertia ecuadoriana,Red Zebrina,3760,https://www.nparks.gov.sg/florafaunaweb/flora/3/7/3760
Goeppertia elliptica 'Vittata',-,5581,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5581
Goeppertia insignis,Rattlesnake Plant,1748,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1748
Goeppertia kegeljanii (É.Morren) Saka,-,1756,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1756
Goeppertia loeseneri,Brazilian Calathea,1749,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1749
Goeppertia loeseneri (Dark Red Flower),-,1750,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1750
Goeppertia louisae 'Variegated',-,5271,https://www.nparks.gov.sg/florafaunaweb/flora/5/2/5271
Goeppertia majestica 'Albolineata',-,1752,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1752
Goeppertia majestica 'Sanderiana',Peacock Plant,1753,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1753
Goeppertia makoyana,Peacock Plant,1754,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1754
Goeppertia marantifolia,-,5286,https://www.nparks.gov.sg/florafaunaweb/flora/5/2/5286
Goeppertia 'Medallion',-,1755,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1755
Goeppertia orbifolia,-,1757,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1757
Goeppertia picturata 'Argentea',-,1758,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1758
Goeppertia picturata 'Vandenheckei',-,1759,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1759
Goeppertia roseopicta (cultivar),-,1760,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1760
Goeppertia roseopicta 'Cynthia',-,1761,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1761
Goeppertia roseopicta 'Dottie',Rose Painted Calathea,6608,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6608
Goeppertia rufibarba,-,1762,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1762
Goeppertia 'Silver Plate',-,1763,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1763
Goeppertia 'Thai Beauty',Variegated Calathea,8214,https://www.nparks.gov.sg/florafaunaweb/flora/8/2/8214
Goeppertia undulata (Linden & André) Borchs. & S.Suárez,银波肖竹芋,5298,https://www.nparks.gov.sg/florafaunaweb/flora/5/2/5298
Goeppertia veitchiana,Peacock Plant,1764,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1764
Goeppertia villosa Lindl.,-,5317,https://www.nparks.gov.sg/florafaunaweb/flora/5/3/5317
Goeppertia warszewiczii,-,1765,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1765
Goeppertia 'Wilson's Princep',-,1766,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1766
Goeppertia zebrina,Zebra Plant,1767,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1767
Gomphocarpus fruticosus (L.) W.T. Aiton,African Milkweed,4088,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4088
Gomphrena celosioides Mart.,Bachelor's Button,6613,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6613
Gomphrena globosa (Pink Flower),-,2038,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2038
Gomphrena globosa f. alba,-,2039,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2039
Gomphrena globosa 'Fireworks',Globe Amaranth 'Fireworks',7356,https://www.nparks.gov.sg/florafaunaweb/flora/7/3/7356
Gomphrena globosa L.,Globe Amaranth,2037,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2037
Gomphrena globosa 'QIS Mixed',-,7213,https://www.nparks.gov.sg/florafaunaweb/flora/7/2/7213
Gomphrena globosa 'QIS Purple',Globe Amaranth,7168,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7168
Gomphrena globosa 'Salmon',-,7212,https://www.nparks.gov.sg/florafaunaweb/flora/7/2/7212
Gomphrena haageana 'Strawberry Fields',-,7167,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7167
Gonatopus boivinii (Decne.) Engl.,Giraffe's knee,5562,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5562
Gongora rufescens Jenny,-,7128,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7128
Gonialoe variegata (L.) Boatwr. & J.C.Manning,Partridge Breast Aloe,3527,https://www.nparks.gov.sg/florafaunaweb/flora/3/5/3527
Goniophlebium percussum (Cav.) Wagner & Grether,-,5705,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5705
Goniothalamus giganteus Hook.f. & Thomson,-,4977,https://www.nparks.gov.sg/florafaunaweb/flora/4/9/4977
Goniothalamus laoticus (Finet & Gagnep.) Bân,-,7436,https://www.nparks.gov.sg/florafaunaweb/flora/7/4/7436
Goniothalamus macrophyllus,-,5404,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5404
Goniothalamus tapis Miq.,Mempisang,7437,https://www.nparks.gov.sg/florafaunaweb/flora/7/4/7437
Gonostegia hirta,-,4851,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4851
Gonystylus confusus,-,4227,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4227
Gossia inophloia (J.F.Bailey & C.T.White) N.Snow & Guymer,Blushing Beauty Myrtle,4891,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4891
Gossypium hirsutum L.,Cotton,5473,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5473
Grammatophyllum speciosum Blume,Tiger Orchid,2041,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2041
Graptopetalum bellum (Moran & Meyran) D.R.Hunt,-,4230,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4230
Graptopetalum pentandrum subsp. superbum,-,8105,https://www.nparks.gov.sg/florafaunaweb/flora/8/1/8105
Graptophyllum excelsum 'Stumpy Dave',-,7997,https://www.nparks.gov.sg/florafaunaweb/flora/7/9/7997
Graptophyllum pictum 'Album Variegatum',Variegated Caricature Plant,2042,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2042
Graptophyllum pictum 'Aureum Variegatum',Caricature Plant,2043,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2043
Graptophyllum pictum cultivars,-,8461,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8461
Graptophyllum pictum 'Golden',-,2045,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2045
Graptophyllum pictum 'Roseum Variegatum',Caricature Plant,2046,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2046
Graptophyllum pictum 'Tricolor',Tricolor Caricature Plant,4231,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4231
Grevillea baileyana,White Oak,2943,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2943
Grevillea banksii,Kahili Flower,2047,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2047
Grevillea 'Pink Candelabra',-,5788,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5788
Grevillea robusta A.Cunn. ex R.Br.,Silky Oak,2944,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2944
Grevillea 'Robyn Gordon',-,4949,https://www.nparks.gov.sg/florafaunaweb/flora/4/9/4949
Grewia laevigata Vahl,Akar sekapu,1407,https://www.nparks.gov.sg/florafaunaweb/flora/1/4/1407
Grewia occidentalis,Cross-berry,4236,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4236
Griffinia espiritensis Ravenna,-,5695,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5695
Grona heterophylla (Willd.) H.Ohashi & K.Ohashi,Variable-leaf Tick Trefoil,1925,https://www.nparks.gov.sg/florafaunaweb/flora/1/9/1925
Grona triflora (L.) H.Ohashi & K.Ohashi,Creeping Tick Trefoil,5641,https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5641
Grypothrix salicifolia (Wall. ex Hook.) S.E.Fawc. & A.R.Sm.,-,5955,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5955
Grypothrix triphylla (Sw.) S.E.Fawc. & A.R.Sm.  var. triphylla,三叶新月蕨,5543,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5543
Guaiacum officinale,Lignum Vitae,2945,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2945
Guettarda speciosa L.,Sea Randa,2946,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2946
Guilandina bonduc (L.) Roxb.,Gray Nicker,6102,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6102
Guioa pleuropteris (Blume) Radlk.,Kelentit Nyamuk,4239,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4239
Guioa pubescens (Z. & M.) Radlk.,Senyamok,4240,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4240
Gustavia gracillima,Narrow-leaved Gustavia,2048,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2048
Gustavia superba,Membrillo,2947,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2947
Guzmania 'Denise' (Variegated),Denise Guzmania,4081,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4081
Guzmania dissitiflora,-,2049,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2049
Guzmania 'Hilda',-,6152,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6152
Guzmania 'Hope',-,7121,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7121
Guzmania lingulata,Scarlet Star,2050,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2050
Guzmania 'Rana',-,6756,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6756
Guzmania 'Teresa',-,2051,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2051
Gymnacranthera farquhariana var. farquhariana,-,4244,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4244
Gymnanthemum amygdalinum (Delile) Sch.Bip.,Bitter Leaf,5583,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5583
Gymnanthera oblonga,海岛藤,6262,https://www.nparks.gov.sg/florafaunaweb/flora/6/2/6262
Gymnocalycium baldianum (Speg.) Speg.,-,6905,https://www.nparks.gov.sg/florafaunaweb/flora/6/9/6905
Gymnocalycium denudatum (Link & Otto) Pfeiff. ex Mittler,Spider Cactus,6907,https://www.nparks.gov.sg/florafaunaweb/flora/6/9/6907
Gymnocalycium mihanovichii cultivars,-,8462,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8462
Gymnostoma deplancheanum (Miq.) L.A.S.Johnson,-,8762,https://www.nparks.gov.sg/florafaunaweb/flora/8/7/8762
Gymnostoma nobile,Bornean Ru,2948,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2948
Gymnostoma rumphianum (Miq.) L. A. S. Johnson,Weeping Ru,2949,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2949
Gymnostoma sumatranum (Jungh. ex de Vriese) L.A.S.Johnson,Sumatran Ru,2795,https://www.nparks.gov.sg/florafaunaweb/flora/2/7/2795
Gynochthodes coriacea Blume,Akar Lampai Hitam,6176,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6176
Gynochthodes rigida (Miq.) Razafim. & B.Bremer,-,5152,https://www.nparks.gov.sg/florafaunaweb/flora/5/1/5152
Gynochthodes umbellata (L.) Razafim. & B. Bremer,Akar Ketang,1456,https://www.nparks.gov.sg/florafaunaweb/flora/1/4/1456
Gynostemma pentaphyllum (Thunb.) Makino,绞股蓝,6739,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6739
Gynotroches axillaris Blume,Mata Keli,2950,https://www.nparks.gov.sg/florafaunaweb/flora/2/9/2950
Gynura aurantiaca,Purple Velvet Plant,2052,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2052
Gynura bicolor DC.,Velvet Plant,4084,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4084
Gynura japonica (Thunb.) Juel,黃花三七草,5873,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5873
Gynura procumbens,Longevity Spinach,4245,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4245
Gynura procumbens (variegated),-,8623,https://www.nparks.gov.sg/florafaunaweb/flora/8/6/8623
Gynura pseudochina var. hispida,Sambung Nyawa Batik,2053,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2053
Gynura sp.,-,2055,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2055
Habranthus gracilifolius Herb.,Rain Lily,2056,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2056
Habrathus sp.,-,2057,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2057
Hamelia cuprea Griseb.,Bahama Firebush,7644,https://www.nparks.gov.sg/florafaunaweb/flora/7/6/7644
Hamelia patens (variegated),Variegated Firecracker,5340,https://www.nparks.gov.sg/florafaunaweb/flora/5/3/5340
Hamelia patens Jacq.,Fire Bush,2058,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2058
Hancea penangensis (Müll.Arg.) S.E.C.Sierra et al.,-,3010,https://www.nparks.gov.sg/florafaunaweb/flora/3/0/3010
Handroanthus chrysotrichus (Mart. ex DC.) Standl.,Yellow Trumpet Tree,3168,https://www.nparks.gov.sg/florafaunaweb/flora/3/1/3168
Handroanthus impetiginosus (Mart. ex DC.) Mattos,-,5493,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5493
Hanguana anthelminthica (Blume ex Schult. & Schult.f.) Masam.,Common Susum,2059,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2059
Hanguana neglecta,-,7781,https://www.nparks.gov.sg/florafaunaweb/flora/7/7/7781
Hanguana rubinea,-,7239,https://www.nparks.gov.sg/florafaunaweb/flora/7/2/7239
Haplopteris elongata (Sw.) E.H.Crane,-,8725,https://www.nparks.gov.sg/florafaunaweb/flora/8/7/8725
Haplopteris ensiformis (Sw.) E.H.Crane,Shoestring Fern,1580,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1580
Harpullia ramiflora Radlk.,Claudie Tulipwood,3702,https://www.nparks.gov.sg/florafaunaweb/flora/3/7/3702
Haworthia cooperi Baker var. truncata,Cooper's Haworthia,4248,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4248
Haworthia cooperi var. pilifera 'Silver Swirl',-,7374,https://www.nparks.gov.sg/florafaunaweb/flora/7/3/7374
Haworthia obtusa hybrid 'LED',-,7372,https://www.nparks.gov.sg/florafaunaweb/flora/7/3/7372
Haworthia sp.,-,5906,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5906
Haworthia truncata 'Lime Green',-,7416,https://www.nparks.gov.sg/florafaunaweb/flora/7/4/7416
Haworthia truncata Schönland,-,4251,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4251
Haworthia truncata var. maughanii (Poelln.) B.Fearn,-,6920,https://www.nparks.gov.sg/florafaunaweb/flora/6/9/6920
Haworthiopsis attenuata (Haw.) G.D.Rowley,-,6634,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6634
Haworthiopsis fasciata,Zebra Haworthia,2060,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2060
Haworthiopsis limifolia (Marloth) G.D.Rowley,Fairy Washboard,5397,https://www.nparks.gov.sg/florafaunaweb/flora/5/3/5397
Haworthiopsis limifolia (variegated),Fairy Washboard,7415,https://www.nparks.gov.sg/florafaunaweb/flora/7/4/7415
Haworthiopsis limifolia 'Spider White',White Fairy Washboard,6661,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6661
Haworthiopsis reinwardtii 'Variegata',-,7371,https://www.nparks.gov.sg/florafaunaweb/flora/7/3/7371
Haworthiopsis tessellata cultivars,-,8463,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8463
Haworthiopsis viscosa,-,5547,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5547
Hechtia epigyna Harms,-,6325,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6325
Hedera helix 'Glacier',Glacier Ivy,1408,https://www.nparks.gov.sg/florafaunaweb/flora/1/4/1408
Hedychium coccineum,Red Ginger Lily,2061,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2061
Hedychium coronarium 'Elizabeth',Ginger Lily,6710,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6710
Hedychium coronarium J. König,Butterfly Ginger,2062,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2062
Hedychium flavescens,-,8103,https://www.nparks.gov.sg/florafaunaweb/flora/8/1/8103
Hedychium sp. 'Peach',Ginger Lily,6712,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6712
Hedyotis corymbosa (L.) Lam.,Two-flowered Oldenlandia,5238,https://www.nparks.gov.sg/florafaunaweb/flora/5/2/5238
Hedyotis diffusa Willd.,Snake-needle grass,5248,https://www.nparks.gov.sg/florafaunaweb/flora/5/2/5248
Heimia myrtifolia Cham. & Schltdl.,-,6410,https://www.nparks.gov.sg/florafaunaweb/flora/6/4/6410
Helanthium tenellum (Mart. ex Schult.f.) J.G.Sm.,Mudbabies,5754,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5754
Helianthus annuus 'Earth Walker',Sunflower 'Earth Walker',6773,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6773
Helianthus annuus 'Holiday',-,7161,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7161
Helianthus annuus L.,Common Sunflower,2065,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2065
Helianthus annuus 'Mammoth',Mammoth Sunflower,7166,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7166
Helianthus annuus 'Selma Suns',Sunflower,7379,https://www.nparks.gov.sg/florafaunaweb/flora/7/3/7379
Helianthus annuus 'Taiyo',-,6713,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6713
Helianthus annuus 'Velvet Queen',Velvet Queen Sunflower,7273,https://www.nparks.gov.sg/florafaunaweb/flora/7/2/7273
Helianthus 'Evening Sun',-,7269,https://www.nparks.gov.sg/florafaunaweb/flora/7/2/7269
Helianthus 'Italian White',Branching Sunflower,6772,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6772
Helianthus tuberosus L.,Jerusalem Artichoke,4085,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4085
Helichrysum bracteatum 'Sultane Mix',-,7181,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7181
Helichrysum italicum G. Don f.,Immortelle,8065,https://www.nparks.gov.sg/florafaunaweb/flora/8/0/8065
Heliconia × nickeriensis,-,2085,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2085
Heliconia × nickeriensis (variegated),-,4273,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4273
Heliconia Abalo & G.Morales × flabellata,Flabellata,5586,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5586
Heliconia 'American Dwarf',-,2067,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2067
Heliconia bihai × caribaea 'Burgundy',-,6177,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6177
Heliconia bihai × marginata 'Rauliniana',-,5254,https://www.nparks.gov.sg/florafaunaweb/flora/5/2/5254
Heliconia bihai 'Lobster Claw One',-,5745,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5745
Heliconia bihai 'Peachy Pink',-,5256,https://www.nparks.gov.sg/florafaunaweb/flora/5/2/5256
Heliconia bihai 'Yellow Dancer',-,4255,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4255
Heliconia bourgeana × collinsiana 'Pedro Ortiz',-,8104,https://www.nparks.gov.sg/florafaunaweb/flora/8/1/8104
Heliconia 'Carla Black',-,8122,https://www.nparks.gov.sg/florafaunaweb/flora/8/1/8122
Heliconia chartacea 'Sexy Pink',Sexy Pink Heliconia,2068,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2068
Heliconia chartacea 'Sexy Scarlet',-,4285,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4285
Heliconia chartacea 'Surinam Gold',Surinam Gold Heliconia,5717,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5717
Heliconia collinsiana Griggs,-,5744,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5744
Heliconia cultivar (dark red),-,2066,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2066
Heliconia densiflora 'Fire Flash',-,2069,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2069
Heliconia 'Dinosaur',-,5715,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5715
Heliconia 'Dwarf Jamaican',-,2070,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2070
Heliconia episcopalis Vell.,Bishop’s Heliconia,4266,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4266
Heliconia 'Golden Torch Sunshine',-,6043,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6043
Heliconia hirsuta 'Chumaniana',-,5760,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5760
Heliconia 'Hot Rio Nights',-,5729,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5729
Heliconia indica (Red Leaf),Red Leaf Heliconia,7397,https://www.nparks.gov.sg/florafaunaweb/flora/7/3/7397
Heliconia indica 'Spectabilis',-,2071,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2071
Heliconia indica 'Striata',-,2072,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2072
Heliconia 'José Abalo',-,5786,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5786
Heliconia latispatha 'Orange Gyro',-,5507,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5507
Heliconia lingulata 'Fan',-,5250,https://www.nparks.gov.sg/florafaunaweb/flora/5/2/5250
Heliconia lingulata 'Red Tip Fan',-,5249,https://www.nparks.gov.sg/florafaunaweb/flora/5/2/5249
Heliconia longa,Heliconia,4939,https://www.nparks.gov.sg/florafaunaweb/flora/4/9/4939
Heliconia longiflora R. R. Sm.,-,4039,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4039
Heliconia longissima Abalo & G.Morales,-,5253,https://www.nparks.gov.sg/florafaunaweb/flora/5/2/5253
Heliconia marginata (Griggs) Pittier,-,2081,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2081
Heliconia marginata 'Lutea',Yellow Pendent Heliconia,8141,https://www.nparks.gov.sg/florafaunaweb/flora/8/1/8141
Heliconia mariae Hook. f.,Beefsteak Heliconia,4272,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4272
Heliconia mathiasiae,-,3394,https://www.nparks.gov.sg/florafaunaweb/flora/3/3/3394
Heliconia metallica (green form),-,8034,https://www.nparks.gov.sg/florafaunaweb/flora/8/0/8034
Heliconia metallica 'Dwarf Purple',-,5732,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5732
Heliconia metallica Planch. & Linden ex Hook.,-,5352,https://www.nparks.gov.sg/florafaunaweb/flora/5/3/5352
Heliconia orthothrica 'Eden Pink',-,5771,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5771
Heliconia orthotricha 'Imperial',-,5309,https://www.nparks.gov.sg/florafaunaweb/flora/5/3/5309
Heliconia platystachys Baker,-,5742,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5742
Heliconia psittacorum × h. spathocircinata 'Golden Torch',-,2079,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2079
Heliconia psittacorum × spathocircinata 'Alan Carle',-,4275,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4275
Heliconia psittacorum × spathocircinata 'Keanae Red',-,7402,https://www.nparks.gov.sg/florafaunaweb/flora/7/4/7402
Heliconia psittacorum 'Andromeda',Parakeet Flower,2074,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2074
Heliconia psittacorum 'Black Cherry',-,2075,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2075
Heliconia psittacorum 'Golden Torch Adrian',-,4278,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4278
Heliconia psittacorum 'Lady Di',Parakeet Flower,2076,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2076
Heliconia psittacorum 'Lady Di' (Variegated),Lady Di Heliconia,5794,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5794
Heliconia psittacorum 'Peru White New',-,7398,https://www.nparks.gov.sg/florafaunaweb/flora/7/3/7398
Heliconia psittacorum 'Pinky',-,5251,https://www.nparks.gov.sg/florafaunaweb/flora/5/2/5251
Heliconia psittacorum 'Sassy',-,2077,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2077
Heliconia psittacorum 'Strawberries & Cream',-,2078,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2078
Heliconia 'Red-Yellow Gyro',-,2073,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2073
Heliconia rostrata,Fishtail Heliconia,2080,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2080
Heliconia rostrata 'Green Tip',Heliconia,8045,https://www.nparks.gov.sg/florafaunaweb/flora/8/0/8045
Heliconia spathocircinata Aristeg.,-,5486,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5486
Heliconia stricta 'Bucky',-,5719,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5719
Heliconia stricta 'Carli's Sharonii',-,5850,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5850
Heliconia stricta 'Dimples',-,2082,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2082
Heliconia stricta 'Dorado Gold',-,5862,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5862
Heliconia stricta 'Iris',-,4279,https://www.nparks.gov.sg/florafaunaweb/flora/4/2/4279
Heliconia 'Temptress',-,5718,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5718
Heliconia 'Tropics',-,2083,https://www.nparks.gov.sg/florafaunaweb/flora/2/0/2083
Heliconia vaginalis,-,8005,https://www.nparks.gov.sg/florafaunaweb/flora/8/0/8005
